[jhipp@gov-tic-sbox-hsedge gnuplot]$ cat cpu_sample.dat
##date time server1 server2 server3 server4 server5
08/13/2019 12:00 89.5 0.0 0.0 0.0 5.6
08/13/2019 12:30 0.0 5.6 0.0 0.0 0.0
08/13/2019 13:00 89.5 0.0 5.6 0.0 5.6
08/13/2019 13:30 0.0 0.0 0.0 0.0 0.0
08/13/2019 14:00 90.0 5.3 0.0 0.0 5.3
08/13/2019 14:30 5.6 5.6 0.0 0.0 5.3
08/13/2019 15:00 5.6 5.3 5.6 0.0 5.6
08/13/2019 15:30 0.0 0.0 5.6 5.6 0.0
08/13/2019 16:00 89.5 5.6 0.0 0.0 5.6
08/13/2019 16:30 0.0 0.0 0.0 5.6 0.0
08/13/2019 17:00 90.0 0.0 0.0 0.0 0.0
08/13/2019 17:30 5.6 5.3 5.6 0.0 0.0
08/13/2019 18:00 89.5 0.0 5.6 5.6 0.0
08/13/2019 18:30 0.0 5.6 5.9 0.0 5.3
08/13/2019 19:00 90.0 0.0 0.0 5.6 0.0
08/13/2019 19:30 5.6 5.6 0.0 5.6 0.0
